line_id,branch_code,from_visual_node_id,to_visual_node_id,x0,y0,x1,y1,color
3,main,종로3가_L3,을지로3가_L3,2084.0,980.0,2084.0,1144.0,#EF7C1C
3,main,을지로3가_L3,충무로_L3,2084.0,1144.0,2328.0,1244.0,#EF7C1C
3,main,충무로_L3,동대입구_L3,2328.0,1244.0,2404.0,1356.0,#EF7C1C
3,main,동대입구_L3,약수_L3,2404.0,1356.0,2480.0,1476.0,#EF7C1C
3,main,약수_L3,금호_L3,2480.0,1476.0,2480.0,1556.0,#EF7C1C
3,main,금호_L3,옥수_L3,2480.0,1556.0,2480.0,1636.0,#EF7C1C
3,main,옥수_L3,압구정_L3,2480.0,1636.0,2480.0,1760.0,#EF7C1C
3,main,압구정_L3,신사_L3,2480.0,1760.0,2480.0,1828.0,#EF7C1C
3,main,신사_L3,잠원_L3,2480.0,1828.0,2480.0,1884.0,#EF7C1C
3,main,잠원_L3,고속터미널_L3,2480.0,1884.0,2480.0,1964.0,#EF7C1C
3,main,고속터미널_L3,교대_L3,2480.0,1964.0,2480.0,2116.0,#EF7C1C
3,main,교대_L3,남부터미널_L3,2480.0,2116.0,2480.0,2252.0,#EF7C1C
3,main,남부터미널_L3,양재_L3,2480.0,2252.0,2616.0,2252.0,#EF7C1C
3,main,양재_L3,매봉_L3,2616.0,2252.0,2696.0,2252.0,#EF7C1C
3,main,매봉_L3,도곡_L3,2696.0,2252.0,2776.0,2252.0,#EF7C1C
3,main,도곡_L3,대치_L3,2776.0,2252.0,2860.0,2252.0,#EF7C1C
3,main,대치_L3,학여울_L3,2860.0,2252.0,2944.0,2252.0,#EF7C1C
3,main,학여울_L3,대청_L3,2944.0,2252.0,3028.0,2252.0,#EF7C1C
3,main,대청_L3,일원_L3,3028.0,2252.0,3112.0,2252.0,#EF7C1C
3,main,일원_L3,수서_L3,3112.0,2252.0,3232.0,2328.0,#EF7C1C
3,main,수서_L3,가락시장_L3,3232.0,2328.0,3300.0,2140.0,#EF7C1C
3,main,가락시장_L3,경찰병원_L3,3300.0,2140.0,3584.0,2140.0,#EF7C1C
3,main,경찰병원_L3,오금_L3,3584.0,2140.0,3862.0,2140.0,#EF7C1C
4,main,불암산_L4,상계_L4,3744.0,356.0,3604.0,356.0,#00A5DE
4,main,상계_L4,노원_L4,3604.0,356.0,3464.0,356.0,#00A5DE
4,main,노원_L4,창동_L4,3464.0,356.0,3324.0,458.0,#00A5DE
4,main,창동_L4,쌍문_L4,3324.0,458.0,3194.0,554.0,#00A5DE
4,main,쌍문_L4,수유_L4,3194.0,554.0,3064.0,648.0,#00A5DE
4,main,수유_L4,미아_L4,3064.0,648.0,2908.0,648.0,#00A5DE
4,main,미아_L4,미아사거리_L4,2908.0,648.0,2752.0,648.0,#00A5DE
4,main,미아사거리_L4,길음_L4,2752.0,648.0,2596.0,648.0,#00A5DE
4,main,길음_L4,성신여대입구_L4,2596.0,648.0,2440.0,648.0,#00A5DE
4,main,성신여대입구_L4,한성대입구_L4,2440.0,648.0,2328.0,772.0,#00A5DE
4,main,한성대입구_L4,혜화_L4,2328.0,772.0,2328.0,876.0,#00A5DE
4,main,혜화_L4,동대문_L4,2328.0,876.0,2328.0,980.0,#00A5DE
4,main,동대문_L4,동대문역사문화공원_L4,2328.0,980.0,2328.0,1144.0,#00A5DE
4,main,동대문역사문화공원_L4,충무로_L4,2328.0,1144.0,2328.0,1244.0,#00A5DE
4,main,충무로_L4,명동_L4,2328.0,1244.0,2192.0,1308.0,#00A5DE
4,main,명동_L4,회현_L4,2192.0,1308.0,2076.0,1308.0,#00A5DE
4,main,회현_L4,서울역_L4,2076.0,1308.0,1916.0,1308.0,#00A5DE
4,main,서울역_L4,숙대입구_L4,1916.0,1308.0,1940.0,1392.0,#00A5DE
4,main,숙대입구_L4,삼각지_L4,1940.0,1392.0,1940.0,1476.0,#00A5DE
4,main,삼각지_L4,신용산_L4,1940.0,1476.0,2008.0,1560.0,#00A5DE
4,main,신용산_L4,이촌_L4,2008.0,1560.0,2072.0,1632.0,#00A5DE
4,main,이촌_L4,동작_L4,2072.0,1632.0,2200.0,1788.0,#00A5DE
4,main,동작_L4,이수_L4,2200.0,1788.0,2200.0,1964.0,#00A5DE
4,main,이수_L4,사당_L4,2200.0,1964.0,2200.0,2116.0,#00A5DE
4,main,사당_L4,남태령_L4,2200.0,2116.0,2200.0,2252.0,#00A5DE
5,common,방화_L5,개화산_L5,788.0,828.0,788.0,900.0,#996CAC
5,common,개화산_L5,김포공항_L5,788.0,900.0,788.0,972.0,#996CAC
5,common,김포공항_L5,송정_L5,788.0,972.0,828.0,1066.0,#996CAC
5,common,송정_L5,마곡_L5,828.0,1066.0,880.0,1120.0,#996CAC
5,common,마곡_L5,발산_L5,880.0,1120.0,938.0,1176.0,#996CAC
5,common,발산_L5,우장산_L5,938.0,1176.0,996.0,1234.0,#996CAC
5,common,우장산_L5,화곡_L5,996.0,1234.0,1054.0,1296.0,#996CAC
5,common,화곡_L5,까치산_L5,1054.0,1296.0,1108.0,1348.0,#996CAC
5,common,까치산_L5,신정_L5,1108.0,1348.0,1180.0,1420.0,#996CAC
5,common,신정_L5,목동_L5,1180.0,1420.0,1240.0,1476.0,#996CAC
5,common,목동_L5,오목교_L5,1240.0,1476.0,1296.0,1536.0,#996CAC
5,common,오목교_L5,양평_L5,1296.0,1536.0,1356.0,1594.0,#996CAC
5,common,양평_L5,영등포구청_L5,1356.0,1594.0,1424.0,1660.0,#996CAC
5,common,영등포구청_L5,영등포시장_L5,1424.0,1660.0,1504.0,1740.0,#996CAC
5,common,영등포시장_L5,신길_L5,1504.0,1740.0,1600.0,1832.0,#996CAC
5,common,신길_L5,여의도_L5,1600.0,1832.0,1684.0,1750.0,#996CAC
5,common,여의도_L5,여의나루_L5,1684.0,1750.0,1752.0,1676.0,#996CAC
5,common,여의나루_L5,마포_L5,1752.0,1676.0,1752.0,1576.0,#996CAC
5,common,마포_L5,공덕_L5,1752.0,1576.0,1752.0,1476.0,#996CAC
5,common,공덕_L5,애오개_L5,1752.0,1476.0,1752.0,1308.0,#996CAC
5,common,애오개_L5,충정로_L5,1752.0,1308.0,1752.0,1144.0,#996CAC
5,common,충정로_L5,서대문_L5,1752.0,1144.0,1752.0,980.0,#996CAC
5,common,서대문_L5,광화문_L5,1752.0,980.0,1916.0,980.0,#996CAC
5,common,광화문_L5,종로3가_L5,1916.0,980.0,2084.0,980.0,#996CAC
5,common,종로3가_L5,을지로4가_L5,2084.0,980.0,2200.0,1144.0,#996CAC
5,common,을지로4가_L5,동대문역사문화공원_L5,2200.0,1144.0,2328.0,1144.0,#996CAC
5,common,동대문역사문화공원_L5,청구_L5,2328.0,1144.0,2528.0,1244.0,#996CAC
5,common,청구_L5,신금호_L5,2528.0,1244.0,2628.0,1344.0,#996CAC
5,common,신금호_L5,행당_L5,2628.0,1344.0,2740.0,1244.0,#996CAC
5,common,행당_L5,왕십리_L5,2740.0,1244.0,2740.0,1144.0,#996CAC
5,common,왕십리_L5,마장_L5,2740.0,1144.0,2884.0,1144.0,#996CAC
5,common,마장_L5,답십리_L5,2884.0,1144.0,3084.0,1144.0,#996CAC
5,common,답십리_L5,장한평_L5,3084.0,1144.0,3192.0,1144.0,#996CAC
5,common,장한평_L5,군자_L5,3192.0,1144.0,3192.0,1250.0,#996CAC
5,common,군자_L5,아차산_L5,3192.0,1250.0,3192.0,1368.0,#996CAC
5,common,아차산_L5,광나루_L5,3192.0,1368.0,3192.0,1484.0,#996CAC
5,common,광나루_L5,천호_L5,3192.0,1484.0,3340.0,1636.0,#996CAC
5,common,천호_L5,강동_L5,3340.0,1636.0,3468.0,1760.0,#996CAC
5,hanam_branch,강동_L5,길동_L5,3468.0,1760.0,3616.0,1760.0,#996CAC
5,hanam_branch,길동_L5,굽은다리_L5,3616.0,1760.0,3764.0,1760.0,#996CAC
5,hanam_branch,굽은다리_L5,명일_L5,3764.0,1760.0,3912.0,1760.0,#996CAC
5,hanam_branch,명일_L5,고덕_L5,3912.0,1760.0,4060.0,1760.0,#996CAC
5,hanam_branch,고덕_L5,상일동_L5,4060.0,1760.0,4208.0,1760.0,#996CAC
5,hanam_branch,상일동_L5,강일_L5,4208.0,1760.0,4356.0,1760.0,#996CAC
5,hanam_branch,강일_L5,미사_L5,4356.0,1760.0,4356.0,1928.0,#996CAC
5,hanam_branch,미사_L5,하남풍산_L5,4356.0,1928.0,4356.0,2096.0,#996CAC
5,hanam_branch,하남풍산_L5,하남시청_L5,4356.0,2096.0,4356.0,2264.0,#996CAC
5,hanam_branch,하남시청_L5,하남검단산_L5,4356.0,2264.0,4356.0,2436.0,#996CAC
5,macheon_branch,강동_L5,둔촌동_L5,3468.0,1760.0,3574.0,1862.0,#996CAC
5,macheon_branch,둔촌동_L5,올림픽공원_L5,3574.0,1862.0,3680.0,1964.0,#996CAC
5,macheon_branch,올림픽공원_L5,방이_L5,3680.0,1964.0,3772.0,2052.0,#996CAC
5,macheon_branch,방이_L5,오금_L5,3772.0,2052.0,3862.0,2140.0,#996CAC
5,macheon_branch,오금_L5,개롱_L5,3862.0,2140.0,3964.0,2240.0,#996CAC
5,macheon_branch,개롱_L5,거여_L5,3964.0,2240.0,4064.0,2336.0,#996CAC
5,macheon_branch,거여_L5,마천_L5,4064.0,2336.0,4164.0,2436.0,#996CAC
6,main,응암_L6,역촌_L6,1296.0,676.0,1384.0,580.0,#CD7C2F
6,main,역촌_L6,불광_L6,1384.0,580.0,1460.0,488.0,#CD7C2F
6,main,불광_L6,독바위_L6,1460.0,488.0,1378.0,324.0,#CD7C2F
6,main,독바위_L6,연신내_L6,1378.0,324.0,1296.0,488.0,#CD7C2F
6,main,연신내_L6,구산_L6,1296.0,488.0,1296.0,584.0,#CD7C2F
6,main,구산_L6,응암_L6,1296.0,584.0,1296.0,676.0,#CD7C2F
6,main,응암_L6,새절_L6,1296.0,676.0,1296.0,780.0,#CD7C2F
6,main,새절_L6,증산_L6,1296.0,780.0,1296.0,884.0,#CD7C2F
6,main,증산_L6,디지털미디어시티_L6,1296.0,884.0,1296.0,1032.0,#CD7C2F
6,main,디지털미디어시티_L6,월드컵경기장_L6,1296.0,1032.0,1296.0,1120.0,#CD7C2F
6,main,월드컵경기장_L6,마포구청_L6,1296.0,1120.0,1296.0,1200.0,#CD7C2F
6,main,마포구청_L6,망원_L6,1296.0,1200.0,1356.0,1264.0,#CD7C2F
6,main,망원_L6,합정_L6,1356.0,1264.0,1424.0,1332.0,#CD7C2F
6,main,합정_L6,상수_L6,1424.0,1332.0,1488.0,1396.0,#CD7C2F
6,main,상수_L6,광흥창_L6,1488.0,1396.0,1572.0,1476.0,#CD7C2F
6,main,광흥창_L6,대흥_L6,1572.0,1476.0,1656.0,1476.0,#CD7C2F
6,main,대흥_L6,공덕_L6,1656.0,1476.0,1752.0,1476.0,#CD7C2F
6,main,공덕_L6,효창공원앞_L6,1752.0,1476.0,1832.0,1476.0,#CD7C2F
6,main,효창공원앞_L6,삼각지_L6,1832.0,1476.0,1940.0,1476.0,#CD7C2F
6,main,삼각지_L6,녹사평_L6,1940.0,1476.0,2048.0,1476.0,#CD7C2F
6,main,녹사평_L6,이태원_L6,2048.0,1476.0,2156.0,1476.0,#CD7C2F
6,main,이태원_L6,한강진_L6,2156.0,1476.0,2264.0,1476.0,#CD7C2F
6,main,한강진_L6,버티고개_L6,2264.0,1476.0,2372.0,1476.0,#CD7C2F
6,main,버티고개_L6,약수_L6,2372.0,1476.0,2480.0,1476.0,#CD7C2F
6,main,약수_L6,청구_L6,2480.0,1476.0,2528.0,1244.0,#CD7C2F
6,main,청구_L6,신당_L6,2528.0,1244.0,2528.0,1144.0,#CD7C2F
6,main,신당_L6,동묘앞_L6,2528.0,1144.0,2528.0,980.0,#CD7C2F
6,main,동묘앞_L6,창신_L6,2528.0,980.0,2528.0,872.0,#CD7C2F
6,main,창신_L6,보문_L6,2528.0,872.0,2528.0,768.0,#CD7C2F
6,main,보문_L6,안암_L6,2528.0,768.0,2660.0,768.0,#CD7C2F
6,main,안암_L6,고려대_L6,2660.0,768.0,2792.0,768.0,#CD7C2F
6,main,고려대_L6,월곡_L6,2792.0,768.0,2924.0,768.0,#CD7C2F
6,main,월곡_L6,상월곡_L6,2924.0,768.0,3056.0,768.0,#CD7C2F
6,main,상월곡_L6,돌곶이_L6,3056.0,768.0,3188.0,768.0,#CD7C2F
6,main,돌곶이_L6,석계_L6,3188.0,768.0,3324.0,768.0,#CD7C2F
6,main,석계_L6,태릉입구_L6,3324.0,768.0,3464.0,636.0,#CD7C2F
6,main,태릉입구_L6,화랑대_L6,3464.0,636.0,3664.0,636.0,#CD7C2F
6,main,화랑대_L6,봉화산_L6,3664.0,636.0,3664.0,792.0,#CD7C2F
6,main,봉화산_L6,신내_L6,3664.0,792.0,3664.0,948.0,#CD7C2F
7,main,장암_L7,도봉산_L7,3064.0,408.0,3064.0,324.0,#747F00
7,main,도봉산_L7,수락산_L7,3064.0,324.0,3064.0,240.0,#747F00
7,main,수락산_L7,마들_L7,3064.0,240.0,3464.0,240.0,#747F00
7,main,마들_L7,노원_L7,3464.0,240.0,3464.0,356.0,#747F00
7,main,노원_L7,중계_L7,3464.0,356.0,3464.0,426.0,#747F00
7,main,중계_L7,하계_L7,3464.0,426.0,3464.0,496.0,#747F00
7,main,하계_L7,공릉_L7,3464.0,496.0,3464.0,566.0,#747F00
7,main,공릉_L7,태릉입구_L7,3464.0,566.0,3464.0,636.0,#747F00
7,main,태릉입구_L7,먹골_L7,3464.0,636.0,3464.0,748.0,#747F00
7,main,먹골_L7,중화_L7,3464.0,748.0,3464.0,860.0,#747F00
7,main,중화_L7,상봉_L7,3464.0,860.0,3464.0,972.0,#747F00
7,main,상봉_L7,면목_L7,3464.0,972.0,3420.0,1020.0,#747F00
7,main,면목_L7,사가정_L7,3420.0,1020.0,3364.0,1078.0,#747F00
7,main,사가정_L7,용마산_L7,3364.0,1078.0,3304.0,1136.0,#747F00
7,main,용마산_L7,중곡_L7,3304.0,1136.0,3248.0,1196.0,#747F00
7,main,중곡_L7,군자_L7,3248.0,1196.0,3192.0,1250.0,#747F00
7,main,군자_L7,어린이대공원_L7,3192.0,1250.0,3078.0,1364.0,#747F00
7,main,어린이대공원_L7,건대입구_L7,3078.0,1364.0,2972.0,1468.0,#747F00
7,main,건대입구_L7,자양_L7,2972.0,1468.0,2906.0,1538.0,#747F00
7,main,자양_L7,청담_L7,2906.0,1538.0,2846.0,1596.0,#747F00
7,main,청담_L7,강남구청_L7,2846.0,1596.0,2776.0,1668.0,#747F00
7,main,강남구청_L7,학동_L7,2776.0,1668.0,2696.0,1748.0,#747F00
7,main,학동_L7,논현_L7,2696.0,1748.0,2618.0,1826.0,#747F00
7,main,논현_L7,반포_L7,2618.0,1826.0,2554.0,1892.0,#747F00
7,main,반포_L7,고속터미널_L7,2554.0,1892.0,2480.0,1964.0,#747F00
7,main,고속터미널_L7,내방_L7,2480.0,1964.0,2340.0,1964.0,#747F00
7,main,내방_L7,이수_L7,2340.0,1964.0,2200.0,1964.0,#747F00
7,main,이수_L7,남성_L7,2200.0,1964.0,2096.0,1964.0,#747F00
7,main,남성_L7,숭실대입구_L7,2096.0,1964.0,2000.0,1964.0,#747F00
7,main,숭실대입구_L7,상도_L7,2000.0,1964.0,1904.0,1964.0,#747F00
7,main,상도_L7,장승배기_L7,1904.0,1964.0,1808.0,1964.0,#747F00
7,main,장승배기_L7,신대방삼거리_L7,1808.0,1964.0,1712.0,1964.0,#747F00
7,main,신대방삼거리_L7,보라매_L7,1712.0,1964.0,1616.0,1964.0,#747F00
7,main,보라매_L7,신풍_L7,1616.0,1964.0,1520.0,1964.0,#747F00
