mark_status,visual_node_no,visual_node_id,station_key,station_name,display_name,line_id,branch_codes,x_px,y_px,x_pct,y_pct,marker_radius_px,is_transfer_station,is_branch_node,label_owner,alias_or_note,memo
완료,52,이대_L2,이대,이대,이대역,2,main,1576,1144,30.78125,39.72222222222222,10,False,False,True,,
완료,53,아현_L2,아현,아현,아현역,2,main,1664,1144,32.5,39.72222222222222,10,False,False,True,,
완료,54,충정로_L2,충정로,충정로,충정로역,2,main,1752,1144,34.21875,39.72222222222222,12,True,True,True,,
완료,55,용답_L2,용답,용답,용답역,2,seongsu_branch,2972,1204,58.046875,41.80555555555556,10,False,False,True,,
완료,56,신답_L2,신답,신답,신답역,2,seongsu_branch,2972,1064,58.046875,36.94444444444444,10,False,False,True,,
완료,57,용두_L2,용두,용두,용두역,2,seongsu_branch,2784,1064,54.37499999999999,36.94444444444444,10,False,False,True,,
완료,58,도림천_L2,도림천,도림천,도림천역,2,sinjeong_branch,1320,1720,25.78125,59.72222222222222,10,False,False,True,,
완료,59,양천구청_L2,양천구청,양천구청,양천구청역,2,sinjeong_branch,1220,1620,23.828125,56.25,10,False,False,True,,
완료,60,신정네거리_L2,신정네거리,신정네거리,신정네거리역,2,sinjeong_branch,1108,1508,21.640625,52.361111111111114,10,False,False,True,,
완료,61,까치산_L2,까치산,까치산,까치산역,2,sinjeong_branch,1108,1348,21.640625,46.80555555555556,12,True,True,True,,
완료,62,종로3가_L3,종로3가,종로3가,종로3가역,3,main,2084,980,40.703125,34.02777777777778,12,True,False,False,,
완료,63,을지로3가_L3,을지로3가,을지로3가,을지로3가역,3,main,2084,1144,40.703125,39.72222222222222,12,True,False,False,,
완료,64,교대_L3,교대,교대,교대역,3,main,2480,2116,48.4375,73.47222222222223,12,True,False,False,,
완료,65,지축_L3,지축,지축,지축역,3,main,984,488,19.21875,16.944444444444446,10,False,True,True,,
완료,66,구파발_L3,구파발,구파발,구파발역,3,main,1140,488,22.265625,16.944444444444446,10,False,False,True,,
완료,67,연신내_L3,연신내,연신내,연신내역,3,main,1296,488,25.3125,16.944444444444446,12,True,False,True,,
완료,68,불광_L3,불광,불광,불광역,3,main,1460,488,28.515625,16.944444444444446,12,True,False,True,,
완료,69,녹번_L3,녹번,녹번,녹번역,3,main,1616,488,31.5625,16.944444444444446,10,False,False,True,,
완료,70,홍제_L3,홍제,홍제,홍제역,3,main,1772,488,34.609375,16.944444444444446,10,False,False,True,,
완료,71,무악재_L3,무악재,무악재,무악재역,3,main,1928,488,37.65625,16.944444444444446,10,False,False,True,,
완료,72,독립문_L3,독립문,독립문,독립문역,3,main,2084,488,40.703125,16.944444444444446,10,False,False,True,,
완료,73,경복궁_L3,경복궁,경복궁,경복궁역,3,main,2084,648,40.703125,22.5,10,False,False,True,경복궁(정부서울청사),
완료,74,안국_L3,안국,안국,안국역,3,main,2084,808,40.703125,28.055555555555557,10,False,False,True,,
완료,75,충무로_L3,충무로,충무로,충무로역,3,main,2328,1244,45.46875,43.19444444444444,12,True,False,True,,
완료,76,동대입구_L3,동대입구,동대입구,동대입구역,3,main,2404,1356,46.953125,47.083333333333336,10,False,False,True,,
완료,77,약수_L3,약수,약수,약수역,3,main,2480,1476,48.4375,51.24999999999999,12,True,False,True,,
완료,78,금호_L3,금호,금호,금호역,3,main,2480,1556,48.4375,54.02777777777777,10,False,False,True,,
