event_id,treated_station,controls,note
TRF_성균관대_2023,혜화,양재;가산디지털단지;명동;연신내;수유,spillover 제외 6개
TRF_한양대_2023,한양대,영등포시장;을지로3가;단대오거리;월곡;신풍,spillover 제외 5개
TRF_동국대_2023,동대입구,영등포시장;단대오거리;신풍;한강진;월곡,spillover 제외 5개
TRF_고려대_2024,고려대,명일;신당;복정;길동;가락시장,spillover 제외 5개
TRF_고려대_2024,안암,남한산성입구;마들;약수;수락산;석계,spillover 제외 5개
TRF_숙명여대_2024,숙대입구,디지털미디어시티;면목;남구로;아차산;우장산,spillover 제외 6개
TRF_이화여대_2024,이대,제기동;불광;서울역;상봉;하계,spillover 제외 3개
TRF_연세대_2024,신촌,가산디지털단지;양재;명동;연신내;사당,spillover 제외 3개
TRF_건국대_2024,건대입구,가산디지털단지;양재;명동;연신내;사당,spillover 제외 5개
TRF_홍익대_2024,홍대입구,강남;잠실;서울역;구로디지털단지;신림,spillover 제외 3개
TRF_홍익대_2024,상수,한강진;신풍;천왕;남성;영등포시장,spillover 제외 4개
TRF_성균관대_2024,혜화,양재;가산디지털단지;명동;연신내;수유,spillover 제외 6개
TRF_동국대_2024,동대입구,영등포시장;단대오거리;신풍;한강진;월곡,spillover 제외 5개
TRF_한양대_2024,한양대,영등포시장;을지로3가;단대오거리;월곡;신풍,spillover 제외 5개
TRF_고려대_2025,고려대,명일;신당;복정;길동;가락시장,spillover 제외 5개
TRF_고려대_2025,안암,남한산성입구;마들;약수;수락산;석계,spillover 제외 5개
TRF_숙명여대_2025,숙대입구,디지털미디어시티;면목;남구로;아차산;우장산,spillover 제외 6개
TRF_이화여대_2025,이대,제기동;불광;서울역;상봉;하계,spillover 제외 3개
TRF_연세대_2025,신촌,가산디지털단지;양재;명동;연신내;사당,spillover 제외 3개
TRF_건국대_2025,건대입구,가산디지털단지;양재;명동;연신내;사당,spillover 제외 5개
TRF_홍익대_2025,홍대입구,강남;잠실;서울역;구로디지털단지;신림,spillover 제외 3개
TRF_홍익대_2025,상수,한강진;신풍;천왕;남성;영등포시장,spillover 제외 4개
TRF_성균관대_2025,혜화,양재;가산디지털단지;명동;연신내;수유,spillover 제외 6개
TRF_동국대_2025,동대입구,영등포시장;단대오거리;신풍;한강진;월곡,spillover 제외 5개
TRF_한양대_2025,한양대,영등포시장;을지로3가;단대오거리;월곡;신풍,spillover 제외 5개
TRF_고려대_2026,고려대,명일;신당;복정;길동;가락시장,spillover 제외 5개
TRF_고려대_2026,안암,남한산성입구;마들;약수;수락산;석계,spillover 제외 5개
TRF_숙명여대_2026,숙대입구,디지털미디어시티;면목;남구로;아차산;우장산,spillover 제외 6개
TRF_이화여대_2026,이대,제기동;불광;서울역;상봉;하계,spillover 제외 3개
TRF_연세대_2026,신촌,가산디지털단지;양재;명동;연신내;사당,spillover 제외 3개
TRF_건국대_2026,건대입구,가산디지털단지;양재;명동;연신내;사당,spillover 제외 5개
TRF_홍익대_2026,홍대입구,강남;잠실;서울역;구로디지털단지;신림,spillover 제외 3개
TRF_홍익대_2026,상수,한강진;신풍;천왕;남성;영등포시장,spillover 제외 4개
TRF_성균관대_2026,혜화,양재;가산디지털단지;명동;연신내;수유,spillover 제외 6개
TRF_동국대_2026,동대입구,영등포시장;단대오거리;신풍;한강진;월곡,spillover 제외 5개
TRF_한양대_2026,한양대,영등포시장;을지로3가;단대오거리;월곡;신풍,spillover 제외 5개
